Number of Nodes,AVL Height,BST Height
1,1,1
2,2,2
3,1,2
4,2,2
5,2,3
6,3,3
7,3,4
8,3,4
9,3,5
10,3,4
11,4,5
12,4,5
13,4,5
14,4,5
15,4,6
16,4,6
17,4,7
18,4,6
19,4,7
20,4,7
21,5,7
22,5,7
23,5,7
24,5,7
25,5,7
26,5,7
27,5,8
28,5,8
29,5,6
30,5,7
31,5,7
32,6,8
33,5,9
34,6,9
35,6,8
36,6,10
37,6,8
38,6,8
39,6,9
40,6,10
41,6,10
42,6,9
43,6,8
44,6,9
45,6,10
46,6,9
47,6,8
48,6,9
49,6,10
50,6,10
51,6,10
52,6,9
53,6,10
54,6,10
55,6,9
56,6,9
57,6,11
58,7,10
59,7,9
60,6,12
61,7,10
62,6,10
63,7,10
64,7,10
65,6,11
66,7,12
67,7,12
68,7,10
69,7,12
70,7,11
71,7,11
72,7,11
73,7,10
74,7,12
75,7,11
76,7,12
77,7,11
78,7,12
79,7,10
80,7,13
81,7,10
82,7,11
83,7,11
84,7,11
85,7,10
86,7,11
87,7,11
88,7,12
89,7,12
90,7,11
91,7,11
92,7,12
93,7,15
94,7,13
95,7,11
96,7,12
97,7,12
98,7,11
99,7,11
100,7,13
101,7,13
102,7,12
103,8,12
104,8,14
105,7,13
106,7,13
107,8,11
108,8,12
109,8,13
110,8,12
111,8,14
112,7,13
113,7,13
114,8,12
115,8,12
116,8,12
117,8,13
118,8,13
119,7,12
120,8,12
121,8,13
122,8,14
123,8,13
124,8,14
125,8,13
126,8,11
127,8,13
128,8,15
129,8,13
130,8,14
131,8,12
132,8,13
133,8,14
134,8,14
135,8,15
136,8,13
137,8,12
138,8,14
139,8,13
140,8,14
141,8,12
142,8,16
143,8,13
144,8,13
145,8,13
146,8,12
147,8,14
148,8,14
149,8,14
150,8,14
151,8,15
152,8,12
153,8,14
154,8,14
155,8,16
156,8,15
157,8,13
158,8,14
159,8,13
160,8,15
161,8,13
162,8,13
163,8,14
164,8,14
165,8,14
166,8,13
167,8,14
168,8,13
169,8,12
170,8,15
171,8,14
172,8,13
173,8,13
174,8,14
175,8,15
176,8,14
177,9,15
178,8,14
179,8,13
180,9,14
181,8,16
182,8,14
183,8,14
184,9,14
185,9,14
186,8,15
187,8,14
188,8,14
189,9,14
190,8,14
191,9,13
192,8,16
193,9,15
194,9,16
195,8,13
196,9,14
197,8,15
198,9,15
199,9,14
200,8,15
201,9,14
202,9,16
203,9,16
204,9,13
205,9,14
206,9,14
207,9,16
208,9,14
209,9,15
210,9,16
211,9,15
212,9,15
213,9,14
214,8,13
215,9,14
216,9,16
217,9,14
218,9,15
219,9,15
220,9,14
221,8,15
222,9,16
223,9,14
224,9,16
225,9,15
226,9,16
227,9,16
228,9,15
229,9,14
230,9,17
231,9,15
232,9,14
233,9,15
234,9,16
235,9,16
236,9,15
237,9,15
238,9,16
239,9,18
240,9,16
241,9,16
242,9,16
243,9,16
244,9,15
245,9,17
246,9,15
247,9,14
248,9,15
249,9,16
250,9,16
251,9,15
252,9,16
253,9,15
254,9,16
255,9,16
256,9,18
257,9,16
258,9,16
259,9,14
260,9,15
261,9,14
262,9,15
263,9,16
264,9,16
265,9,13
266,9,16
267,9,15
268,9,16
269,9,15
270,9,15
271,9,14
272,9,14
273,9,15
274,9,16
275,9,14
276,9,16
277,9,17
278,9,15
279,9,17
280,9,15
281,9,16
282,9,15
283,9,15
284,9,16
285,9,17
286,9,16
287,9,16
288,9,15
289,9,15
290,9,16
291,9,15
292,10,16
293,9,16
294,9,16
295,9,15
296,9,15
297,9,18
298,9,18
299,9,16
300,9,17
301,9,16
302,9,16
303,9,17
304,9,15
305,10,17
306,9,16
307,10,15
308,9,15
309,9,19
310,9,16
311,9,16
312,9,15
313,9,16
314,9,16
315,9,16
316,10,15
317,10,19
318,10,17
319,10,15
320,9,17
321,9,16
322,9,17
323,9,17
324,9,17
325,9,15
326,9,16
327,10,16
328,9,16
329,10,18
330,9,16
331,9,16
332,10,16
333,9,16
334,10,16
335,9,17
336,9,15
337,9,17
338,9,15
339,9,16
340,9,19
341,10,16
342,10,16
343,10,16
344,9,16
345,10,17
346,10,16
347,10,19
348,10,17
349,10,16
350,10,15
351,10,16
352,10,16
353,10,16
354,10,17
355,10,15
356,10,16
357,9,16
358,10,16
359,10,16
360,10,16
361,10,17
362,10,16
363,10,18
364,10,17
365,10,17
366,10,17
367,10,15
368,10,16
369,10,19
370,10,17
371,10,17
372,10,18
373,10,18
374,10,17
375,9,18
376,10,15
377,10,17
378,10,16
379,10,16
380,10,16
381,10,17
382,10,17
383,10,17
384,10,17
385,10,18
386,10,16
387,10,16
388,10,16
389,10,17
390,10,17
391,10,15
392,10,17
393,10,16
394,10,17
395,10,19
396,10,16
397,10,20
398,10,17
399,10,17
400,10,17
401,10,16
402,10,17
403,10,19
404,10,17
405,10,18
406,10,17
407,10,16
408,10,18
409,10,16
410,10,17
411,10,18
412,10,16
413,10,18
414,10,17
415,10,18
416,10,18
417,10,16
418,10,17
