Number of Nodes,AVL Height,BST Height
1,1,1
2,2,2
3,1,2
4,2,2
5,2,3
6,3,5
7,3,5
8,3,6
9,3,6
10,3,7
11,3,7
12,4,10
13,4,11
14,4,10
15,4,12
16,4,11
17,4,12
18,4,15
19,4,16
20,4,15
21,5,17
22,5,16
23,5,19
24,5,20
25,5,19
26,5,20
27,5,19
28,5,23
29,5,24
30,5,22
31,5,24
32,5,27
33,5,25
34,5,27
35,5,27
36,5,28
37,5,31
38,5,27
39,5,30
40,6,33
41,6,34
42,5,31
43,6,35
44,6,35
45,6,35
46,5,35
47,6,38
48,6,37
49,6,39
50,6,39
51,6,40
52,6,40
53,6,39
54,6,42
55,6,43
56,6,43
57,6,43
58,6,46
59,6,47
60,6,47
61,6,47
62,6,48
63,6,49
64,6,48
65,6,52
66,6,52
67,6,52
68,6,53
69,6,55
70,6,54
71,6,53
72,6,57
73,6,57
74,6,59
75,6,59
76,6,61
77,6,60
78,6,63
79,6,61
80,7,65
81,6,64
82,7,66
83,6,66
84,7,66
85,7,70
86,6,65
87,7,67
88,6,67
89,7,69
90,7,70
91,7,70
92,7,70
93,7,73
94,7,72
95,7,75
96,7,78
97,7,76
98,7,81
99,7,79
100,7,78
101,7,81
102,7,81
103,7,83
104,7,80
105,7,83
106,7,84
107,7,82
108,7,85
109,7,86
110,7,84
111,7,88
112,7,86
113,7,86
114,7,91
115,7,91
116,7,92
117,7,93
118,7,89
119,7,94
120,7,92
121,7,98
122,7,98
123,7,95
124,7,96
125,7,95
126,7,101
127,7,99
128,7,98
129,7,101
130,7,102
131,7,104
132,7,97
133,7,106
134,7,103
135,7,108
136,7,107
137,7,108
138,7,108
139,7,106
140,7,110
141,7,112
142,7,110
143,7,114
144,7,114
145,7,115
146,7,111
147,7,116
148,7,116
149,7,115
150,7,121
151,7,120
152,7,123
153,7,124
154,7,124
155,7,117
156,7,120
157,7,121
158,7,124
159,7,122
160,7,127
161,8,133
162,7,128
163,7,125
164,7,126
165,7,132
166,7,132
167,7,127
168,8,133
169,8,136
170,8,135
171,7,131
172,8,136
173,8,137
174,8,137
175,8,139
176,8,137
177,8,139
178,8,139
179,8,142
180,8,141
181,8,143
182,8,145
183,8,140
184,8,143
185,8,148
186,8,148
187,8,149
188,8,151
189,8,153
190,8,149
191,8,147
192,8,151
193,8,149
194,8,151
195,8,156
196,8,159
197,8,156
198,8,161
199,8,161
200,8,159
201,8,157
202,8,157
203,8,157
204,8,163
205,8,162
206,8,162
207,8,161
208,8,163
209,8,170
210,8,162
211,8,161
212,8,167
213,8,164
214,8,173
215,8,167
216,8,169
217,8,172
218,8,170
219,8,174
220,8,173
221,8,170
222,8,177
223,8,180
224,8,178
225,8,177
226,8,174
227,8,179
228,8,176
229,8,179
230,8,179
231,8,183
232,8,185
233,8,185
234,8,185
235,8,184
236,8,189
237,8,188
238,8,186
239,8,186
240,8,190
241,8,189
242,8,187
243,8,188
244,8,188
245,8,195
246,8,193
247,8,199
248,8,194
249,8,198
250,8,200
251,8,197
252,8,194
253,8,199
254,8,200
255,8,200
256,8,202
257,8,205
258,8,204
259,8,198
260,8,202
261,8,204
262,8,201
263,8,207
264,8,209
265,8,206
266,8,206
267,8,206
268,8,212
269,8,214
270,8,208
271,8,211
272,8,209
273,8,218
274,8,213
275,8,214
276,8,220
277,8,222
278,8,212
279,8,223
280,8,223
281,8,220
282,8,222
283,8,216
284,8,225
285,8,215
286,8,226
287,8,226
288,8,229
289,8,222
290,8,229
291,8,233
292,8,228
293,8,228
294,8,229
295,8,229
296,8,233
297,8,235
298,8,232
299,8,233
300,8,238
301,8,235
302,8,238
303,8,243
304,8,242
305,8,243
306,8,238
307,8,242
308,8,243
309,8,232
310,8,242
311,8,246
312,8,240
313,8,246
314,8,251
315,8,247
316,8,252
317,8,243
318,8,255
319,8,251
320,8,249
321,8,249
322,8,251
323,8,247
324,8,254
325,9,261
326,8,255
327,9,261
328,9,260
329,9,264
330,8,256
331,9,263
332,9,266
333,9,265
334,9,265
335,8,257
336,9,264
337,9,266
338,9,266
339,9,270
340,9,267
341,9,267
342,9,264
343,9,277
344,9,270
345,9,267
346,9,270
347,9,272
348,9,269
349,9,272
350,9,277
351,9,280
352,9,277
353,9,269
354,9,282
355,9,280
356,9,279
357,9,271
358,9,280
359,9,287
360,9,287
361,9,285
362,9,291
363,9,282
364,9,287
365,9,283
366,9,291
367,9,292
368,9,291
369,9,300
370,9,297
371,9,293
372,9,290
373,9,290
374,9,290
375,9,291
376,9,298
377,9,301
378,9,299
379,9,294
380,9,296
381,9,299
382,9,303
383,9,294
384,9,305
385,9,302
386,9,302
387,9,307
388,9,307
389,9,309
390,9,306
391,9,305
392,9,302
393,9,302
394,9,308
395,9,306
396,9,314
397,9,312
398,9,311
399,9,315
400,9,318
401,9,311
402,9,316
403,9,316
404,9,321
405,9,314
406,9,322
407,9,325
408,9,325
409,9,326
410,9,326
411,9,325
412,9,324
413,9,324
414,9,328
415,9,326
416,9,337
417,9,329
418,9,335
