Number of Nodes,AVL Height,BST Height
1,1,1
2,1,1
3,2,2
4,2,3
5,2,4
6,3,5
7,3,5
8,3,6
9,3,7
10,3,6
11,4,9
12,4,9
13,4,9
14,4,10
15,4,11
16,4,13
17,4,13
18,4,12
19,4,15
20,5,17
21,5,17
22,5,18
23,5,18
24,5,20
25,5,21
26,5,21
27,5,21
28,5,21
29,5,23
30,5,22
31,5,25
32,5,25
33,5,25
34,5,26
35,5,28
36,5,30
37,5,29
38,5,30
39,5,32
40,5,32
41,5,32
42,6,33
43,6,33
44,5,33
45,6,34
46,6,37
47,6,37
48,6,38
49,6,36
50,6,41
51,6,42
52,6,42
53,6,41
54,6,41
55,6,45
56,6,45
57,6,45
58,6,47
59,6,48
60,6,47
61,6,46
62,6,51
63,6,50
64,6,51
65,6,50
66,6,51
67,6,54
68,6,56
69,6,55
70,6,56
71,6,56
72,6,57
73,6,59
74,6,61
75,6,59
76,6,57
77,6,62
78,6,61
79,6,60
80,6,63
81,6,65
82,7,67
83,6,64
84,7,67
85,7,67
86,7,68
87,7,68
88,7,72
89,7,69
90,7,69
91,7,72
92,7,74
93,7,75
94,7,72
95,7,74
96,7,79
97,7,75
98,7,79
99,7,76
100,7,79
101,7,80
102,7,78
103,7,80
104,7,84
105,7,82
106,7,85
107,7,85
108,7,89
109,7,87
110,7,86
111,7,84
112,7,85
113,7,88
114,7,90
115,7,92
116,7,93
117,7,91
118,7,89
119,7,92
120,7,95
121,7,100
122,7,93
123,7,96
124,7,96
125,7,98
126,7,99
127,7,101
128,7,102
129,7,98
130,7,101
131,7,102
132,7,106
133,7,105
134,7,107
135,7,107
136,7,107
137,7,110
138,7,107
139,7,110
140,7,108
141,7,111
142,7,113
143,7,109
144,7,112
145,7,110
146,7,117
147,7,116
148,7,114
149,7,117
150,7,117
151,7,119
152,7,119
153,7,123
154,7,124
155,7,123
156,7,122
157,7,121
158,7,125
159,7,123
160,7,128
161,7,127
162,7,127
163,7,125
164,7,125
165,7,128
166,7,125
167,7,127
168,7,131
169,8,132
170,7,127
171,8,136
172,7,132
173,8,135
174,8,139
175,8,136
176,8,141
177,8,138
178,8,140
179,8,143
180,8,137
181,8,142
182,8,143
183,8,145
184,8,147
185,8,145
186,8,142
187,8,148
188,8,150
189,8,147
190,8,150
191,8,148
192,8,150
193,8,152
194,8,149
195,8,150
196,8,156
197,8,158
198,8,154
199,8,156
200,8,159
201,8,157
202,8,158
203,8,159
204,8,169
205,8,165
206,8,162
207,8,164
208,8,159
209,8,160
210,8,167
211,8,164
212,8,169
213,8,161
214,8,166
215,8,167
216,8,169
217,8,165
218,8,179
219,8,166
220,8,173
221,8,176
222,8,170
223,8,171
224,8,174
225,8,181
226,8,180
227,8,183
228,8,177
229,8,182
230,8,176
231,8,177
232,8,173
233,8,185
234,8,185
235,8,187
236,8,192
237,8,190
238,8,189
239,8,189
240,8,193
241,8,186
242,8,185
243,8,193
244,8,191
245,8,191
246,8,197
247,8,189
248,8,192
249,8,193
250,8,191
251,8,201
252,8,196
253,8,198
254,8,199
255,8,201
256,8,204
257,8,202
258,8,201
259,8,205
260,8,203
261,8,204
262,8,202
263,8,207
264,8,210
265,8,209
266,8,209
267,8,209
268,8,210
269,8,217
270,8,215
271,8,213
272,8,218
273,8,215
274,8,217
275,8,216
276,8,218
277,8,212
278,8,219
279,8,226
280,8,220
281,8,225
282,8,221
283,8,225
284,8,222
285,8,220
286,8,225
287,8,227
288,8,224
289,8,227
290,8,230
291,8,228
292,8,231
293,8,232
294,8,233
295,8,230
296,8,231
297,8,241
298,8,235
299,8,234
300,8,238
301,8,235
302,8,238
303,8,236
304,8,244
305,8,242
306,8,242
307,8,245
308,8,241
309,8,239
310,8,243
311,8,248
312,8,244
313,8,240
314,8,247
315,8,246
316,8,256
317,8,248
318,8,246
319,8,251
320,8,247
321,8,258
322,8,253
323,8,254
324,8,255
325,8,254
326,8,255
327,8,256
328,9,262
329,8,256
330,9,264
331,8,259
332,9,270
333,9,261
334,9,270
335,9,264
336,9,268
337,8,262
338,8,265
339,9,273
340,9,270
341,9,274
