Number of Nodes,AVL Height,BST Height
1,1,1
2,2,2
3,2,2
4,2,3
5,2,3
6,3,3
7,3,4
8,3,4
9,4,5
10,4,4
11,4,4
12,4,5
13,4,5
14,4,5
15,4,7
16,4,5
17,5,6
18,4,5
19,5,8
20,5,5
21,5,7
22,5,8
23,5,8
24,5,7
25,5,7
26,5,7
27,5,8
28,5,8
29,5,8
30,5,8
31,5,9
32,6,9
33,5,8
34,6,8
35,6,9
36,6,8
37,6,8
38,6,9
39,6,9
40,6,9
41,6,9
42,6,10
43,6,9
44,6,8
45,6,8
46,6,10
47,6,9
48,6,10
49,6,11
50,6,8
51,6,10
52,6,10
53,6,12
54,6,11
55,6,10
56,6,10
57,7,11
58,6,10
59,7,10
60,7,10
61,6,10
62,6,10
63,6,12
64,7,10
65,7,10
66,6,9
67,6,12
68,7,10
69,7,9
70,7,12
71,7,9
72,7,11
73,7,11
74,7,9
75,7,11
76,7,10
77,7,11
78,7,12
79,7,11
80,7,11
81,7,11
82,7,12
83,7,13
84,7,12
85,7,11
86,7,11
87,7,12
88,7,13
89,7,12
90,7,12
91,7,13
92,7,11
93,7,11
94,7,12
95,7,11
96,7,12
97,7,12
98,7,11
99,7,12
100,7,12
101,7,11
102,7,12
103,8,11
104,8,11
105,7,14
106,7,12
107,7,12
108,8,11
109,8,12
110,8,13
111,7,13
112,7,12
113,8,13
114,8,13
115,8,12
116,8,12
117,8,12
118,8,13
119,7,12
120,8,12
121,8,12
122,8,12
123,8,12
124,8,11
125,8,14
126,8,13
127,8,13
128,8,14
129,8,12
130,8,14
131,8,12
132,8,12
133,8,12
134,8,13
135,8,12
136,8,13
137,8,14
138,8,12
139,8,13
140,8,14
141,8,16
142,8,14
143,8,12
144,8,14
145,8,14
146,8,14
147,8,11
148,8,14
149,8,13
150,8,13
151,8,12
152,8,15
153,8,15
154,8,13
155,8,14
156,8,13
157,8,15
158,8,12
159,8,14
160,8,13
161,8,14
162,8,14
163,8,13
164,8,15
165,8,14
166,8,14
167,9,14
168,8,14
169,9,13
170,8,13
171,8,13
172,8,14
173,8,17
174,9,14
175,8,13
176,8,14
177,8,14
178,8,13
179,9,13
180,8,13
181,8,14
182,9,14
183,8,13
184,8,15
185,8,14
186,8,17
187,9,14
188,8,14
189,9,13
190,9,15
191,8,15
192,8,13
193,8,13
194,9,16
195,9,15
196,9,14
197,8,16
198,9,15
199,8,15
200,9,15
201,9,13
202,9,15
203,9,13
204,9,14
205,9,15
206,9,15
207,9,15
208,9,15
209,9,15
210,9,15
211,9,13
212,9,13
213,9,15
214,9,15
215,8,16
216,9,14
217,9,16
218,9,18
219,9,15
220,9,15
221,9,14
222,9,15
223,9,17
224,9,15
225,9,15
226,9,14
227,9,16
228,9,15
229,9,16
230,9,15
231,9,15
232,8,15
233,9,16
234,9,14
235,9,16
236,9,14
237,9,15
238,9,16
239,9,17
240,9,16
241,9,16
242,9,15
243,9,15
244,9,16
245,9,16
246,9,16
247,9,18
248,9,16
249,9,15
250,9,16
251,9,14
252,9,16
253,9,14
254,9,14
255,9,15
256,9,14
257,9,18
258,9,14
259,9,16
260,9,14
261,9,15
262,9,16
263,9,15
264,9,17
265,9,15
266,9,15
267,9,14
268,9,15
269,9,15
270,9,16
271,9,17
272,9,16
273,9,15
274,9,18
275,9,16
276,9,16
277,9,16
278,9,16
279,9,17
280,9,15
281,9,17
282,9,15
283,9,18
284,9,16
285,9,17
286,9,16
287,9,16
288,9,15
289,9,17
290,9,16
291,9,18
292,9,16
293,9,16
294,9,17
295,9,15
296,9,16
297,9,15
298,9,16
299,9,15
300,9,17
301,9,16
302,9,16
303,9,16
304,9,17
305,9,16
306,10,15
307,9,16
308,9,15
309,9,15
310,10,16
311,9,15
312,10,16
313,9,16
314,9,16
315,9,18
316,9,15
317,9,17
318,9,17
319,9,16
320,10,15
321,10,17
322,10,17
323,9,17
324,9,15
325,10,17
326,9,18
327,9,19
328,9,15
329,9,16
330,10,16
331,10,17
332,9,16
333,9,14
334,10,17
335,10,18
336,9,16
337,10,16
338,9,15
339,9,16
340,10,17
341,9,17
342,9,16
343,9,16
344,10,17
345,10,15
346,10,17
347,10,17
348,10,15
349,10,17
350,9,17
351,10,17
352,10,16
353,9,20
354,9,16
355,10,17
356,10,16
357,10,15
358,9,17
359,10,16
360,10,19
361,10,17
362,10,17
363,10,16
364,10,15
365,10,18
366,9,18
367,10,16
368,10,17
369,9,17
370,10,18
371,10,16
372,10,16
373,10,17
374,10,17
375,9,18
376,10,17
377,10,17
378,10,18
379,9,17
380,10,15
381,10,18
382,10,18
383,10,17
384,10,17
385,10,18
386,10,17
387,10,16
388,10,18
389,10,17
390,10,17
391,10,18
392,10,19
393,10,18
394,10,19
395,10,16
396,10,17
397,10,18
398,10,15
399,10,19
400,10,19
401,10,17
402,10,17
403,10,17
404,10,16
405,10,18
406,10,16
407,10,16
408,10,16
409,10,17
410,10,17
411,10,17
412,10,17
413,10,16
414,10,18
415,10,16
416,10,17
417,10,18
418,10,18
