Number of Nodes,AVL Height (Random), BST Height (Random), AVL Height (Sorted), BST Height (Sorted), AVL Height (Reverse Sorted), BST Height (Reverse Sorted)
1,1,1,1,1,1,1
101,8,12,7,78,7,80
201,9,15,8,156,8,159
301,10,17,8,239,8,241
401,10,17,9,315,9,317
501,10,18,9,390,9,396
601,11,18,9,472,9,474
701,10,19,10,548,10,551
801,11,21,10,626,10,634
901,11,20,10,705,10,704
1001,11,21,10,797,10,774
1101,12,21,10,861,10,859
1201,12,22,10,943,10,954
1301,12,22,10,1029,10,1023
1401,12,21,11,1080,11,1110
1501,12,22,11,1178,11,1174
1601,12,24,11,1256,11,1263
1701,12,21,11,1332,11,1345
1801,12,24,11,1413,11,1414
1901,13,23,11,1486,11,1501
2001,13,23,11,1572,11,1574
2101,13,24,11,1646,11,1651
2201,13,26,11,1745,11,1728
2301,13,25,11,1809,11,1796
2401,13,25,11,1883,11,1899
2501,13,25,11,1963,11,1954
2601,13,26,11,2054,12,2071
2701,13,25,12,2132,12,2128
2801,13,26,12,2196,12,2187
2901,13,25,12,2284,12,2285
3001,13,25,12,2351,12,2370
3101,13,25,12,2463,12,2427
3201,13,26,12,2530,12,2536
3301,14,24,12,2607,12,2597
3401,14,25,12,2672,12,2668
3501,14,28,12,2750,12,2762
3601,14,24,12,2836,12,2826
3701,14,26,12,2923,12,2903
3801,14,26,12,2990,12,2990
3901,14,26,12,3068,12,3055
4001,14,24,12,3146,12,3143
4101,14,28,12,3228,12,3218
4201,14,28,12,3304,12,3303
4301,14,26,12,3379,12,3388
4401,14,27,12,3466,12,3464
4501,14,24,12,3540,12,3525
4601,14,28,12,3613,12,3611
4701,14,27,12,3679,12,3718
4801,14,27,12,3792,12,3802
4901,14,27,12,3871,12,3851
5001,14,25,12,3931,12,3911
5101,14,27,12,4011,12,4007
5201,14,27,12,4076,12,4108
5301,14,26,13,4195,13,4171
5401,14,27,13,4222,13,4237
5501,14,27,13,4315,13,4342
5601,14,28,13,4431,13,4395
5701,15,27,13,4521,13,4483
5801,14,30,13,4568,13,4540
5901,14,28,13,4672,13,4620
6001,15,28,13,4722,13,4724
6101,14,27,13,4817,13,4815
6201,15,28,13,4882,13,4878
6301,15,26,13,4977,13,4944
6401,15,29,13,5035,13,5024
6501,15,29,13,5121,13,5160
6601,15,29,13,5226,13,5196
6701,14,28,13,5254,13,5250
6801,15,27,13,5376,13,5355
6901,15,29,13,5427,13,5474
7001,15,29,13,5515,13,5526
7101,15,31,13,5570,13,5597
7201,15,28,13,5666,13,5660
7301,15,28,13,5748,13,5750
7401,15,29,13,5789,13,5819
7501,15,28,13,5924,13,5887
7601,15,29,13,5969,13,5988
7701,15,29,13,6064,13,6008
7801,15,28,13,6151,13,6119
7901,15,29,13,6221,13,6233
8001,15,28,13,6301,13,6290
8101,15,32,13,6342,13,6388
8201,15,29,13,6457,13,6466
8301,15,28,13,6545,13,6540
8401,15,29,13,6589,13,6611
8501,15,29,13,6687,13,6689
8601,15,29,13,6762,13,6776
8701,15,29,13,6837,13,6832
8801,15,28,13,6939,13,6905
8901,15,27,13,7027,13,6994
9001,15,29,13,7080,13,7095
9101,15,29,13,7160,13,7167
9201,15,30,13,7254,13,7232
9301,15,28,13,7300,13,7312
9401,15,30,13,7393,13,7391
9501,15,30,13,7453,13,7501
9601,16,30,13,7587,13,7554
9701,15,33,13,7627,13,7654
9801,16,30,13,7704,13,7694
9901,15,31,13,7829,13,7770
